Time (s)	mag_x	mag_y	mag_z
1479414259.531198	23.093246	62.865305	-46.903182
1479414259.543211	23.182019	62.391855	-47.403562
1479414259.555179	23.180616	61.805673	-47.873945
1479414259.579136	24.221470	59.965946	-48.551296
1479414259.609235	24.482054	59.369302	-49.741645
1479414259.621260	24.800018	59.249349	-50.445192
1479414259.633135	24.764703	59.153387	-51.148187
1479414259.657039	25.293223	58.738639	-52.020342
1479414259.717089	25.963253	56.854685	-53.838924
1479414259.771103	25.720895	55.491174	-53.666632
1479414259.789312	26.035546	54.970526	-54.374976
1479414259.801288	26.115234	54.693219	-54.782560
1479414259.813234	26.396250	54.678795	-55.318862
1479414259.831118	26.693485	54.321553	-55.537670
1479414259.867243	26.477046	52.476482	-56.315172
1479414259.891137	26.215310	51.257295	-56.756807
1479414259.903279	26.186624	50.823806	-57.038416
1479414259.921202	26.308518	50.338733	-57.684172
1479414259.957329	26.537765	48.647919	-59.014766
1479414259.969157	26.806697	48.252321	-59.475486
1479414260.005103	26.976693	46.922112	-59.788533
1479414260.023175	27.824194	45.337888	-59.834711
1479414260.035259	27.401309	44.774609	-60.131443
1479414260.077136	27.331921	42.079321	-61.582434
1479414260.142933	28.559626	37.236187	-63.446133
1479414260.155278	28.424186	35.942466	-63.861518
1479414260.179078	28.446417	33.595524	-64.249437
